Age,Embarked,Fare,Parch,PassengerId,Pclass,Sex_code,SibSp,Survived,FamilySize,Mr,Miss,Mrs,Master
18.0,2,18.0,0,39,3,0,2,0.0,2,0,1,0,0
14.0,0,11.2417,0,40,3,0,1,1.0,1,0,1,0,0
40.0,2,9.475,0,41,3,0,1,0.0,1,0,0,1,0
27.0,2,21.0,0,42,2,0,1,0.0,1,0,0,1,0
24.0,0,7.8958,0,43,3,1,0,0.0,0,1,0,0,0
3.0,0,41.5792,2,44,2,0,1,1.0,3,0,1,0,0
19.0,1,7.8792,0,45,3,0,0,1.0,0,0,1,0,0
24.0,2,8.05,0,46,3,1,0,0.0,0,1,0,0,0
24.0,1,15.5,0,47,3,1,1,0.0,1,1,0,0,0
24.0,1,7.75,0,48,3,0,0,1.0,0,0,1,0,0
24.0,0,21.6792,0,49,3,1,2,0.0,2,1,0,0,0
18.0,2,17.8,0,50,3,0,1,0.0,1,0,0,1,0
7.0,2,39.6875,1,51,3,1,4,0.0,5,0,0,0,1
21.0,2,7.8,0,52,3,1,0,0.0,0,1,0,0,0
49.0,0,76.7292,0,53,1,0,1,1.0,1,0,0,1,0
29.0,2,26.0,0,54,2,0,1,1.0,1,0,0,1,0
65.0,0,61.9792,1,55,1,1,0,0.0,1,1,0,0,0
24.0,2,35.5,0,56,1,1,0,1.0,0,1,0,0,0
21.0,2,10.5,0,57,2,0,0,1.0,0,0,1,0,0
28.5,0,7.2292,0,58,3,1,0,0.0,0,1,0,0,0
5.0,2,27.75,2,59,2,0,1,1.0,3,0,1,0,0
11.0,2,46.9,2,60,3,1,5,0.0,7,0,0,0,1
22.0,0,7.2292,0,61,3,1,0,0.0,0,1,0,0,0
38.0,2,80.0,0,62,1,0,0,1.0,0,0,1,0,0
45.0,2,83.475,0,63,1,1,1,0.0,1,1,0,0,0
4.0,2,27.9,2,64,3,1,3,0.0,5,0,0,0,1
24.0,0,27.7208,0,65,1,1,0,0.0,0,1,0,0,0
24.0,0,15.2458,1,66,3,1,1,1.0,2,0,0,0,1
29.0,2,10.5,0,67,2,0,0,1.0,0,0,0,1,0
19.0,2,8.1583,0,68,3,1,0,0.0,0,1,0,0,0
17.0,2,7.925,2,69,3,0,4,1.0,6,0,1,0,0
26.0,2,8.6625,0,70,3,1,2,0.0,2,1,0,0,0
32.0,2,10.5,0,71,2,1,0,0.0,0,1,0,0,0
16.0,2,46.9,2,72,3,0,5,0.0,7,0,1,0,0
21.0,2,73.5,0,73,2,1,0,0.0,0,1,0,0,0
26.0,0,14.4542,0,74,3,1,1,0.0,1,1,0,0,0
32.0,2,56.4958,0,75,3,1,0,1.0,0,1,0,0,0
25.0,2,7.65,0,76,3,1,0,0.0,0,1,0,0,0
24.0,2,7.8958,0,77,3,1,0,0.0,0,1,0,0,0
24.0,2,8.05,0,78,3,1,0,0.0,0,1,0,0,0
0.83,2,29.0,2,79,2,1,0,1.0,2,0,0,0,1
30.0,2,12.475,0,80,3,0,0,1.0,0,0,1,0,0
22.0,2,9.0,0,81,3,1,0,0.0,0,1,0,0,0
29.0,2,9.5,0,82,3,1,0,1.0,0,1,0,0,0
24.0,1,7.7875,0,83,3,0,0,1.0,0,0,1,0,0
28.0,2,47.1,0,84,1,1,0,0.0,0,1,0,0,0
17.0,2,10.5,0,85,2,0,0,1.0,0,0,1,0,0
33.0,2,15.85,0,86,3,0,3,1.0,3,0,0,1,0
16.0,2,34.375,3,87,3,1,1,0.0,4,1,0,0,0
24.0,2,8.05,0,88,3,1,0,0.0,0,1,0,0,0
23.0,2,263.0,2,89,1,0,3,1.0,5,0,1,0,0
24.0,2,8.05,0,90,3,1,0,0.0,0,1,0,0,0
29.0,2,8.05,0,91,3,1,0,0.0,0,1,0,0,0
20.0,2,7.8542,0,92,3,1,0,0.0,0,1,0,0,0
46.0,2,61.175,0,93,1,1,1,0.0,1,1,0,0,0
26.0,2,20.575,2,94,3,1,1,0.0,3,1,0,0,0
59.0,2,7.25,0,95,3,1,0,0.0,0,1,0,0,0
24.0,2,8.05,0,96,3,1,0,0.0,0,1,0,0,0
71.0,0,34.6542,0,97,1,1,0,0.0,0,1,0,0,0
23.0,0,63.3583,1,98,1,1,0,1.0,1,1,0,0,0
34.0,2,23.0,1,99,2,0,0,1.0,1,0,0,1,0
34.0,2,26.0,0,100,2,1,1,0.0,1,1,0,0,0
28.0,2,7.8958,0,101,3,0,0,0.0,0,0,1,0,0
24.0,2,7.8958,0,102,3,1,0,0.0,0,1,0,0,0
21.0,2,77.2875,1,103,1,1,0,0.0,1,1,0,0,0
33.0,2,8.6542,0,104,3,1,0,0.0,0,1,0,0,0
37.0,2,7.925,0,105,3,1,2,0.0,2,1,0,0,0
28.0,2,7.8958,0,106,3,1,0,0.0,0,1,0,0,0
21.0,2,7.65,0,107,3,0,0,1.0,0,0,1,0,0
24.0,2,7.775,0,108,3,1,0,1.0,0,1,0,0,0
38.0,2,7.8958,0,109,3,1,0,0.0,0,1,0,0,0
24.0,1,24.15,0,110,3,0,1,1.0,1,0,1,0,0
47.0,2,52.0,0,111,1,1,0,0.0,0,1,0,0,0
14.5,0,14.4542,0,112,3,0,1,0.0,1,0,1,0,0
22.0,2,8.05,0,113,3,1,0,0.0,0,1,0,0,0
20.0,2,9.825,0,114,3,0,1,0.0,1,0,1,0,0
17.0,0,14.4583,0,115,3,0,0,0.0,0,0,1,0,0
21.0,2,7.925,0,116,3,1,0,0.0,0,1,0,0,0
70.5,1,7.75,0,117,3,1,0,0.0,0,1,0,0,0
29.0,2,21.0,0,118,2,1,1,0.0,1,1,0,0,0
24.0,0,247.5208,1,119,1,1,0,0.0,1,1,0,0,0
2.0,2,31.275,2,120,3,0,4,0.0,6,0,1,0,0
21.0,2,73.5,0,121,2,1,2,0.0,2,1,0,0,0
24.0,2,8.05,0,122,3,1,0,0.0,0,1,0,0,0
32.5,0,30.0708,0,123,2,1,1,0.0,1,1,0,0,0
32.5,2,13.0,0,124,2,0,0,1.0,0,0,1,0,0
54.0,2,77.2875,1,125,1,1,0,0.0,1,1,0,0,0
12.0,0,11.2417,0,126,3,1,1,1.0,1,0,0,0,1
24.0,1,7.75,0,127,3,1,0,0.0,0,1,0,0,0
24.0,2,7.1417,0,128,3,1,0,1.0,0,1,0,0,0
24.0,0,22.3583,1,129,3,0,1,1.0,2,0,1,0,0
45.0,2,6.975,0,130,3,1,0,0.0,0,1,0,0,0
33.0,0,7.8958,0,131,3,1,0,0.0,0,1,0,0,0
20.0,2,7.05,0,132,3,1,0,0.0,0,1,0,0,0
47.0,2,14.5,0,133,3,0,1,0.0,1,0,0,1,0
29.0,2,26.0,0,134,2,0,1,1.0,1,0,0,1,0
25.0,2,13.0,0,135,2,1,0,0.0,0,1,0,0,0
23.0,0,15.0458,0,136,2,1,0,0.0,0,1,0,0,0
19.0,2,26.2833,2,137,1,0,0,1.0,2,0,1,0,0
37.0,2,53.1,0,138,1,1,1,0.0,1,1,0,0,0
16.0,2,9.2167,0,139,3,1,0,0.0,0,1,0,0,0
24.0,0,79.2,0,140,1,1,0,0.0,0,1,0,0,0
24.0,0,15.2458,2,141,3,0,0,0.0,2,0,0,1,0
22.0,2,7.75,0,142,3,0,0,1.0,0,0,1,0,0
24.0,2,15.85,0,143,3,0,1,1.0,1,0,0,1,0
19.0,1,6.75,0,144,3,1,0,0.0,0,1,0,0,0
18.0,2,11.5,0,145,2,1,0,0.0,0,1,0,0,0
19.0,2,36.75,1,146,2,1,1,0.0,2,1,0,0,0
27.0,2,7.7958,0,147,3,1,0,1.0,0,1,0,0,0
9.0,2,34.375,2,148,3,0,2,0.0,4,0,1,0,0
36.5,2,26.0,2,149,2,1,0,0.0,2,1,0,0,0
42.0,2,13.0,0,150,2,1,0,0.0,0,0,0,0,0
51.0,2,12.525,0,151,2,1,0,0.0,0,0,0,0,0
22.0,2,66.6,0,152,1,0,1,1.0,1,0,0,1,0
55.5,2,8.05,0,153,3,1,0,0.0,0,1,0,0,0
40.5,2,14.5,2,154,3,1,0,0.0,2,1,0,0,0
24.0,2,7.3125,0,155,3,1,0,0.0,0,1,0,0,0
51.0,0,61.3792,1,156,1,1,0,0.0,1,1,0,0,0
16.0,1,7.7333,0,157,3,0,0,1.0,0,0,1,0,0
30.0,2,8.05,0,158,3,1,0,0.0,0,1,0,0,0
24.0,2,8.6625,0,159,3,1,0,0.0,0,1,0,0,0
24.0,2,69.55,2,160,3,1,8,0.0,10,0,0,0,1
44.0,2,16.1,1,161,3,1,0,0.0,1,1,0,0,0
40.0,2,15.75,0,162,2,0,0,1.0,0,0,0,1,0
26.0,2,7.775,0,163,3,1,0,0.0,0,1,0,0,0
17.0,2,8.6625,0,164,3,1,0,0.0,0,1,0,0,0
1.0,2,39.6875,1,165,3,1,4,0.0,5,0,0,0,1
9.0,2,20.525,2,166,3,1,0,1.0,2,0,0,0,1
24.0,2,55.0,1,167,1,0,0,1.0,1,0,0,1,0
45.0,2,27.9,4,168,3,0,1,0.0,5,0,0,1,0
24.0,2,25.925,0,169,1,1,0,0.0,0,1,0,0,0
28.0,2,56.4958,0,170,3,1,0,0.0,0,1,0,0,0
61.0,2,33.5,0,171,1,1,0,0.0,0,1,0,0,0
4.0,1,29.125,1,172,3,1,4,0.0,5,0,0,0,1
1.0,2,11.1333,1,173,3,0,1,1.0,2,0,1,0,0
21.0,2,7.925,0,174,3,1,0,0.0,0,1,0,0,0
56.0,0,30.6958,0,175,1,1,0,0.0,0,1,0,0,0
18.0,2,7.8542,1,176,3,1,1,0.0,2,1,0,0,0
24.0,2,25.4667,1,177,3,1,3,0.0,4,0,0,0,1
50.0,0,28.7125,0,178,1,0,0,0.0,0,0,1,0,0
30.0,2,13.0,0,179,2,1,0,0.0,0,1,0,0,0
36.0,2,0.0,0,180,3,1,0,0.0,0,1,0,0,0
24.0,2,69.55,2,181,3,0,8,0.0,10,0,1,0,0
24.0,0,15.05,0,182,2,1,0,0.0,0,1,0,0,0
9.0,2,31.3875,2,183,3,1,4,0.0,6,0,0,0,1
1.0,2,39.0,1,184,2,1,2,1.0,3,0,0,0,1
4.0,2,22.025,2,185,3,0,0,1.0,2,0,1,0,0
24.0,2,50.0,0,186,1,1,0,0.0,0,1,0,0,0
24.0,1,15.5,0,187,3,0,1,1.0,1,0,0,1,0
45.0,2,26.55,0,188,1,1,0,1.0,0,1,0,0,0
40.0,1,15.5,1,189,3,1,1,0.0,2,1,0,0,0
36.0,2,7.8958,0,190,3,1,0,0.0,0,1,0,0,0
32.0,2,13.0,0,191,2,0,0,1.0,0,0,0,1,0
19.0,2,13.0,0,192,2,1,0,0.0,0,1,0,0,0
19.0,2,7.8542,0,193,3,0,1,1.0,1,0,1,0,0
3.0,2,26.0,1,194,2,1,1,1.0,2,0,0,0,1
44.0,0,27.7208,0,195,1,0,0,1.0,0,0,0,1,0
58.0,0,146.5208,0,196,1,0,0,1.0,0,0,1,0,0
24.0,1,7.75,0,197,3,1,0,0.0,0,1,0,0,0
42.0,2,8.4042,1,198,3,1,0,0.0,1,1,0,0,0
24.0,1,7.75,0,199,3,0,0,1.0,0,0,1,0,0
24.0,2,13.0,0,200,2,0,0,0.0,0,0,1,0,0
28.0,2,9.5,0,201,3,1,0,0.0,0,1,0,0,0
24.0,2,69.55,2,202,3,1,8,0.0,10,1,0,0,0
34.0,2,6.4958,0,203,3,1,0,0.0,0,1,0,0,0
45.5,0,7.225,0,204,3,1,0,0.0,0,1,0,0,0
18.0,2,8.05,0,205,3,1,0,1.0,0,1,0,0,0
2.0,2,10.4625,1,206,3,0,0,0.0,1,0,1,0,0
32.0,2,15.85,0,207,3,1,1,0.0,1,1,0,0,0
26.0,0,18.7875,0,208,3,1,0,1.0,0,1,0,0,0
16.0,1,7.75,0,209,3,0,0,1.0,0,0,1,0,0
40.0,0,31.0,0,210,1,1,0,1.0,0,1,0,0,0
24.0,2,7.05,0,211,3,1,0,0.0,0,1,0,0,0
35.0,2,21.0,0,212,2,0,0,1.0,0,0,1,0,0
22.0,2,7.25,0,213,3,1,0,0.0,0,1,0,0,0
30.0,2,13.0,0,214,2,1,0,0.0,0,1,0,0,0
24.0,1,7.75,0,215,3,1,1,0.0,1,1,0,0,0
31.0,0,113.275,0,216,1,0,1,1.0,1,0,1,0,0
27.0,2,7.925,0,217,3,0,0,1.0,0,0,1,0,0
42.0,2,27.0,0,218,2,1,1,0.0,1,1,0,0,0
32.0,0,76.2917,0,219,1,0,0,1.0,0,0,1,0,0
30.0,2,10.5,0,220,2,1,0,0.0,0,1,0,0,0
16.0,2,8.05,0,221,3,1,0,1.0,0,1,0,0,0
27.0,2,13.0,0,222,2,1,0,0.0,0,1,0,0,0
51.0,2,8.05,0,223,3,1,0,0.0,0,1,0,0,0
24.0,2,7.8958,0,224,3,1,0,0.0,0,1,0,0,0
38.0,2,90.0,0,225,1,1,1,1.0,1,1,0,0,0
22.0,2,9.35,0,226,3,1,0,0.0,0,1,0,0,0
19.0,2,10.5,0,227,2,1,0,1.0,0,1,0,0,0
20.5,2,7.25,0,228,3,1,0,0.0,0,1,0,0,0
18.0,2,13.0,0,229,2,1,0,0.0,0,1,0,0,0
24.0,2,25.4667,1,230,3,0,3,0.0,4,0,1,0,0
35.0,2,83.475,0,231,1,0,1,1.0,1,0,0,1,0
29.0,2,7.775,0,232,3,1,0,0.0,0,1,0,0,0
59.0,2,13.5,0,233,2,1,0,0.0,0,1,0,0,0
5.0,2,31.3875,2,234,3,0,4,1.0,6,0,1,0,0
24.0,2,10.5,0,235,2,1,0,0.0,0,1,0,0,0
24.0,2,7.55,0,236,3,0,0,0.0,0,0,1,0,0
44.0,2,26.0,0,237,2,1,1,0.0,1,1,0,0,0
8.0,2,26.25,2,238,2,0,0,1.0,2,0,1,0,0
19.0,2,10.5,0,239,2,1,0,0.0,0,1,0,0,0
33.0,2,12.275,0,240,2,1,0,0.0,0,1,0,0,0
24.0,0,14.4542,0,241,3,0,1,0.0,1,0,1,0,0
24.0,1,15.5,0,242,3,0,1,1.0,1,0,1,0,0
29.0,2,10.5,0,243,2,1,0,0.0,0,1,0,0,0
22.0,2,7.125,0,244,3,1,0,0.0,0,1,0,0,0
30.0,0,7.225,0,245,3,1,0,0.0,0,1,0,0,0
44.0,1,90.0,0,246,1,1,2,0.0,2,0,0,0,0
25.0,2,7.775,0,247,3,0,0,0.0,0,0,1,0,0
24.0,2,14.5,2,248,2,0,0,1.0,2,0,0,1,0
37.0,2,52.5542,1,249,1,1,1,1.0,2,1,0,0,0
54.0,2,26.0,0,250,2,1,1,0.0,1,0,0,0,0
24.0,2,7.25,0,251,3,1,0,0.0,0,1,0,0,0
29.0,2,10.4625,1,252,3,0,1,0.0,2,0,0,1,0
62.0,2,26.55,0,253,1,1,0,0.0,0,1,0,0,0
30.0,2,16.1,0,254,3,1,1,0.0,1,1,0,0,0
41.0,2,20.2125,2,255,3,0,0,0.0,2,0,0,1,0
29.0,0,15.2458,2,256,3,0,0,1.0,2,0,0,1,0
24.0,0,79.2,0,257,1,0,0,1.0,0,0,0,1,0
30.0,2,86.5,0,258,1,0,0,1.0,0,0,1,0,0
35.0,0,512.3292,0,259,1,0,0,1.0,0,0,1,0,0
50.0,2,26.0,1,260,2,0,0,1.0,1,0,0,1,0
24.0,1,7.75,0,261,3,1,0,0.0,0,1,0,0,0
3.0,2,31.3875,2,262,3,1,4,1.0,6,0,0,0,1
52.0,2,79.65,1,263,1,1,1,0.0,2,1,0,0,0
40.0,2,0.0,0,264,1,1,0,0.0,0,1,0,0,0
24.0,1,7.75,0,265,3,0,0,0.0,0,0,1,0,0
36.0,2,10.5,0,266,2,1,0,0.0,0,1,0,0,0
16.0,2,39.6875,1,267,3,1,4,0.0,5,1,0,0,0
25.0,2,7.775,0,268,3,1,1,1.0,1,1,0,0,0
58.0,2,153.4625,1,269,1,0,0,1.0,1,0,0,1,0
35.0,2,135.6333,0,270,1,0,0,1.0,0,0,1,0,0
24.0,2,31.0,0,271,1,1,0,0.0,0,1,0,0,0
25.0,2,0.0,0,272,3,1,0,1.0,0,1,0,0,0
41.0,2,19.5,1,273,2,0,0,1.0,1,0,0,1,0
37.0,0,29.7,1,274,1,1,0,0.0,1,1,0,0,0
24.0,1,7.75,0,275,3,0,0,1.0,0,0,1,0,0
63.0,2,77.9583,0,276,1,0,1,1.0,1,0,1,0,0
45.0,2,7.75,0,277,3,0,0,0.0,0,0,1,0,0
24.0,2,0.0,0,278,2,1,0,0.0,0,1,0,0,0
7.0,1,29.125,1,279,3,1,4,0.0,5,0,0,0,1
35.0,2,20.25,1,280,3,0,1,1.0,2,0,0,1,0
65.0,1,7.75,0,281,3,1,0,0.0,0,1,0,0,0
28.0,2,7.8542,0,282,3,1,0,0.0,0,1,0,0,0
16.0,2,9.5,0,283,3,1,0,0.0,0,1,0,0,0
19.0,2,8.05,0,284,3,1,0,1.0,0,1,0,0,0
24.0,2,26.0,0,285,1,1,0,0.0,0,1,0,0,0
33.0,0,8.6625,0,286,3,1,0,0.0,0,1,0,0,0
30.0,2,9.5,0,287,3,1,0,1.0,0,1,0,0,0
22.0,2,7.8958,0,288,3,1,0,0.0,0,1,0,0,0
42.0,2,13.0,0,289,2,1,0,1.0,0,1,0,0,0
22.0,1,7.75,0,290,3,0,0,1.0,0,0,1,0,0
26.0,2,78.85,0,291,1,0,0,1.0,0,0,1,0,0
19.0,0,91.0792,0,292,1,0,1,1.0,1,0,0,1,0
36.0,0,12.875,0,293,2,1,0,0.0,0,1,0,0,0
24.0,2,8.85,0,294,3,0,0,0.0,0,0,1,0,0
24.0,2,7.8958,0,295,3,1,0,0.0,0,1,0,0,0
24.0,0,27.7208,0,296,1,1,0,0.0,0,1,0,0,0
23.5,0,7.2292,0,297,3,1,0,0.0,0,1,0,0,0
2.0,2,151.55,2,298,1,0,1,0.0,3,0,1,0,0
24.0,2,30.5,0,299,1,1,0,1.0,0,1,0,0,0
50.0,0,247.5208,1,300,1,0,0,1.0,1,0,0,1,0
24.0,1,7.75,0,301,3,0,0,1.0,0,0,1,0,0
24.0,1,23.25,0,302,3,1,2,1.0,2,1,0,0,0
19.0,2,0.0,0,303,3,1,0,0.0,0,1,0,0,0
24.0,1,12.35,0,304,2,0,0,1.0,0,0,1,0,0
24.0,2,8.05,0,305,3,1,0,0.0,0,1,0,0,0
0.92,2,151.55,2,306,1,1,1,1.0,3,0,0,0,1
24.0,0,110.8833,0,307,1,0,0,1.0,0,0,1,0,0
17.0,0,108.9,0,308,1,0,1,1.0,1,0,0,1,0
30.0,0,24.0,0,309,2,1,1,0.0,1,1,0,0,0
30.0,0,56.9292,0,310,1,0,0,1.0,0,0,1,0,0
24.0,0,83.1583,0,311,1,0,0,1.0,0,0,1,0,0
18.0,0,262.375,2,312,1,0,2,1.0,4,0,1,0,0
26.0,2,26.0,1,313,2,0,1,0.0,2,0,0,1,0
28.0,2,7.8958,0,314,3,1,0,0.0,0,1,0,0,0
43.0,2,26.25,1,315,2,1,1,0.0,2,1,0,0,0
26.0,2,7.8542,0,316,3,0,0,1.0,0,0,1,0,0
24.0,2,26.0,0,317,2,0,1,1.0,1,0,0,1,0
54.0,2,14.0,0,318,2,1,0,0.0,0,0,0,0,0
31.0,2,164.8667,2,319,1,0,0,1.0,2,0,1,0,0
40.0,0,134.5,1,320,1,0,1,1.0,2,0,0,1,0
22.0,2,7.25,0,321,3,1,0,0.0,0,1,0,0,0
27.0,2,7.8958,0,322,3,1,0,0.0,0,1,0,0,0
30.0,1,12.35,0,323,2,0,0,1.0,0,0,1,0,0
22.0,2,29.0,1,324,2,0,1,1.0,2,0,0,1,0
24.0,2,69.55,2,325,3,1,8,0.0,10,1,0,0,0
36.0,0,135.6333,0,326,1,0,0,1.0,0,0,1,0,0
61.0,2,6.2375,0,327,3,1,0,0.0,0,1,0,0,0
36.0,2,13.0,0,328,2,0,0,1.0,0,0,0,1,0
31.0,2,20.525,1,329,3,0,1,1.0,2,0,0,1,0
16.0,0,57.9792,1,330,1,0,0,1.0,1,0,1,0,0
24.0,1,23.25,0,331,3,0,2,1.0,2,0,1,0,0
45.5,2,28.5,0,332,1,1,0,0.0,0,1,0,0,0
38.0,2,153.4625,1,333,1,1,0,0.0,1,1,0,0,0
16.0,2,18.0,0,334,3,1,2,0.0,2,1,0,0,0
24.0,2,133.65,0,335,1,0,1,1.0,1,0,0,1,0
24.0,2,7.8958,0,336,3,1,0,0.0,0,1,0,0,0
29.0,2,66.6,0,337,1,1,1,0.0,1,1,0,0,0
41.0,0,134.5,0,338,1,0,0,1.0,0,0,1,0,0
45.0,2,8.05,0,339,3,1,0,1.0,0,1,0,0,0
45.0,2,35.5,0,340,1,1,0,0.0,0,1,0,0,0
2.0,2,26.0,1,341,2,1,1,1.0,2,0,0,0,1
24.0,2,263.0,2,342,1,0,3,1.0,5,0,1,0,0
28.0,2,13.0,0,343,2,1,0,0.0,0,1,0,0,0
25.0,2,13.0,0,344,2,1,0,0.0,0,1,0,0,0
36.0,2,13.0,0,345,2,1,0,0.0,0,1,0,0,0
24.0,2,13.0,0,346,2,0,0,1.0,0,0,1,0,0
40.0,2,13.0,0,347,2,0,0,1.0,0,0,1,0,0
24.0,2,16.1,0,348,3,0,1,1.0,1,0,0,1,0
3.0,2,15.9,1,349,3,1,1,1.0,2,0,0,0,1
42.0,2,8.6625,0,350,3,1,0,0.0,0,1,0,0,0
23.0,2,9.225,0,351,3,1,0,0.0,0,1,0,0,0
24.0,2,35.0,0,352,1,1,0,0.0,0,1,0,0,0
15.0,0,7.2292,1,353,3,1,1,0.0,2,1,0,0,0
25.0,2,17.8,0,354,3,1,1,0.0,1,1,0,0,0
24.0,0,7.225,0,355,3,1,0,0.0,0,1,0,0,0
28.0,2,9.5,0,356,3,1,0,0.0,0,1,0,0,0
22.0,2,55.0,1,357,1,0,0,1.0,1,0,1,0,0
38.0,2,13.0,0,358,2,0,0,0.0,0,0,1,0,0
24.0,1,7.8792,0,359,3,0,0,1.0,0,0,1,0,0
24.0,1,7.8792,0,360,3,0,0,1.0,0,0,1,0,0
40.0,2,27.9,4,361,3,1,1,0.0,5,1,0,0,0
29.0,0,27.7208,0,362,2,1,1,0.0,1,1,0,0,0
45.0,0,14.4542,1,363,3,0,0,0.0,1,0,0,1,0
35.0,2,7.05,0,364,3,1,0,0.0,0,1,0,0,0
24.0,1,15.5,0,365,3,1,1,0.0,1,1,0,0,0
30.0,2,7.25,0,366,3,1,0,0.0,0,1,0,0,0
60.0,0,75.25,0,367,1,0,1,1.0,1,0,0,1,0
24.0,0,7.2292,0,368,3,0,0,1.0,0,0,0,1,0
24.0,1,7.75,0,369,3,0,0,1.0,0,0,1,0,0
24.0,0,69.3,0,370,1,0,0,1.0,0,0,0,0,0
25.0,0,55.4417,0,371,1,1,1,1.0,1,1,0,0,0
18.0,2,6.4958,0,372,3,1,1,0.0,1,1,0,0,0
19.0,2,8.05,0,373,3,1,0,0.0,0,1,0,0,0
22.0,0,135.6333,0,374,1,1,0,0.0,0,1,0,0,0
3.0,2,21.075,1,375,3,0,3,0.0,4,0,1,0,0
24.0,0,82.1708,0,376,1,0,1,1.0,1,0,0,1,0
22.0,2,7.25,0,377,3,0,0,1.0,0,0,1,0,0
27.0,0,211.5,2,378,1,1,0,0.0,2,1,0,0,0
20.0,0,4.0125,0,379,3,1,0,0.0,0,1,0,0,0
19.0,2,7.775,0,380,3,1,0,0.0,0,1,0,0,0
42.0,0,227.525,0,381,1,0,0,1.0,0,0,1,0,0
1.0,0,15.7417,2,382,3,0,0,1.0,2,0,1,0,0
32.0,2,7.925,0,383,3,1,0,0.0,0,1,0,0,0
35.0,2,52.0,0,384,1,0,1,1.0,1,0,0,1,0
24.0,2,7.8958,0,385,3,1,0,0.0,0,1,0,0,0
18.0,2,73.5,0,386,2,1,0,0.0,0,1,0,0,0
1.0,2,46.9,2,387,3,1,5,0.0,7,0,0,0,1
36.0,2,13.0,0,388,2,0,0,1.0,0,0,1,0,0
24.0,1,7.7292,0,389,3,1,0,0.0,0,1,0,0,0
17.0,0,12.0,0,390,2,0,0,1.0,0,0,1,0,0
36.0,2,120.0,2,391,1,1,1,1.0,3,1,0,0,0
21.0,2,7.7958,0,392,3,1,0,1.0,0,1,0,0,0
28.0,2,7.925,0,393,3,1,2,0.0,2,1,0,0,0
23.0,0,113.275,0,394,1,0,1,1.0,1,0,1,0,0
24.0,2,16.7,2,395,3,0,0,1.0,2,0,0,1,0
22.0,2,7.7958,0,396,3,1,0,0.0,0,1,0,0,0
31.0,2,7.8542,0,397,3,0,0,0.0,0,0,1,0,0
46.0,2,26.0,0,398,2,1,0,0.0,0,1,0,0,0
23.0,2,10.5,0,399,2,1,0,0.0,0,0,0,0,0
28.0,2,12.65,0,400,2,0,0,1.0,0,0,0,1,0
39.0,2,7.925,0,401,3,1,0,1.0,0,1,0,0,0
26.0,2,8.05,0,402,3,1,0,0.0,0,1,0,0,0
21.0,2,9.825,0,403,3,0,1,0.0,1,0,1,0,0
28.0,2,15.85,0,404,3,1,1,0.0,1,1,0,0,0
